masa_panen,arus,Salinitas,suhu,total_produksi,modal
2011/08/10,,33,30,1950,182520
2011/08/11,,33,29,952,89107
2011/08/14,,33,30,1557,145735
2011/08/14,,33,30,1225,114660
2011/08/14,,33,30,978,915408
2011/08/17,,33,30,1175,109980
2011/08/17,,33,30,889,83210
2011/08/17,,33,30,2250,210600
2011/08/17,,33,30,125,11700
2011/08/18,,33,29,957,89575
2011/02/21,,33,31,802,60054
2011/02/21,,33,31,906,67841
2011/10/04,,33,31,11000,823680
2011/10/04,,33,31,1330,99590
2011/10/08,,33,28,890,66643
2011/10/08,,33,28,185,13853
2011/10/09,,33,30,957,71660
2011/10/10,,33,30,762,57059
2012/12/30,0.65,33,28,7020,591365
2012/01/31,0.65,33,28,1550,130572
2012/01/31,0.65,33,28,905,76237
2012/02/04,0.22,33,28,1200,101088
2012/02/05,0.22,33,29,500,42120
2012/02/05,0.22,33,29,502,42288
2012/07/05,0.36,33,29,2300,150696
2012/07/05,0.36,33,29,125,8190
2012/07/05,0.36,33,29,2057,134775
2012/07/07,0.36,33,29,950,62244
2012/07/07,0.36,33,29,1300,85176
2012/07/08,0.36,33,30,1850,121212
2012/07/09,0.17,33,30,1300,85176
2012/07/10,0.17,33,30,800,52416
2012/07/10,0.17,33,30,1250,81900
2012/07/10,0.17,33,30,956,62637
2012/08/05,0.28,33,30,976,63948
2012/08/10,0.28,33,31,750,49140
2012/08/10,0.28,33,31,700,45864
2012/08/11,0.28,33,31,600,39312
2012/08/12,0.28,33,31,852,55823
2012/08/15,0.28,33,31,1170,76658
2012/08/16,0.28,33,31,1350,88452
2012/08/17,0.28,33,31,850,55692
2012/08/20,0.32,33,32,1150,75348
2012/08/22,0.32,33,32,650,42588
2012/08/26,0.32,33,31,748,56010
2012/08/26,0.32,33,31,1047,78399
2012/08/26,0.32,33,31,467,34969
2012/08/26,0.32,33,31,1119,83791
2012/08/26,0.32,33,31,167,12505
2012/08/26,0.32,33,31,1038,77725
2012/08/26,0.32,33,31,1200,89856
2012/08/26,0.32,33,31,1100,82368
2012/08/26,0.32,33,31,1230,92102
2012/08/28,0.10,33,30,1267,91129
2012/08/28,0.10,33,30,1680,125798
2012/08/28,0.10,33,30,604,45228
2012/08/28,0.10,33,30,345,25834
2012/08/28,0.10,33,30,1094,81825
2012/08/28,0.10,33,30,202,15126
2012/08/31,0.10,33,31,1277,95622
2012/08/31,0.10,33,31,481,31515
2012/08/31,0.10,33,31,729,47764
2012/08/31,0.10,33,31,144,9435
2012/08/31,0.10,33,31,193,12692
2012/08/31,0.10,33,31,757,49599
2012/08/31,0.10,33,31,823,32760
2012/09/02,0.10,33,31,501,28136
2012/09/02,0.10,33,31,182,10221
2012/09/02,0.10,33,31,1490,97625
2012/09/02,0.10,33,31,46,2583
2012/09/03,0.21,33,31,1740,97718
2012/09/03,0.21,33,31,328,21491
2012/09/05,0.21,33,33,181,11859
2012/09/05,0.21,33,33,716,46922
2012/09/05,0.21,33,33,349,22866
2012/09/05,0.21,33,33,658,36953
2012/09/05,0.21,33,33,1206,71211
2012/09/06,0.21,33,32,194,12720
2012/09/06,0.21,33,32,626,41016
2012/09/06,0.21,33,32,662,37178
2012/09/06,0.21,33,32,481,29550
2012/09/06,0.21,33,32,502,28192
2012/09/08,0.21,33,32,947,62047
2012/09/08,0.21,33,32,1362,89238
2012/09/08,0.21,33,32,929,60868
2012/09/09,0.21,33,31,230,15070
2012/09/09,0.21,33,31,963,63096
2012/09/09,0.21,33,31,1065,69779
2012/09/10,0.16,33,31,301,19722
2012/09/10,0.16,33,31,206,134971
2012/09/10,0.16,33,31,298,19525
2012/09/12,0.16,33,32,1669,109353
2012/09/12,0.16,33,32,502,32891
2012/09/13,0.16,33,32,1320,87011
2012/09/13,0.16,33,32,1302,85307
2012/09/13,0.16,33,32,293,19197
2012/09/14,0.16,33,33,203,133268
2012/09/15,0.16,33,33,820,53726
2012/09/16,0.16,33,32,1134,74300
2012/09/16,0.16,33,32,1221,80000
2012/09/17,0.54,33,32,1197,78427
2012/09/17,0.54,33,32,759,49739
2012/09/21,0.54,33,32,998,65389
2012/09/24,0.54,33,32,1960,128419
2012/09/27,0.54,33,32,2654,173890
2012/09/28,0.54,33,32,303,193743
2012/09/30,0.54,33,32,1189,109746
2012/10/04,0.54,33,32,1675,109746
2012/10/07,0.54,33,31,297,19459
2012/10/07,0.54,33,31,625,40950
2012/10/24,0.23,33,33,1050,68796
2012/10/29,0.23,33,31,610,39967
2012/11/05,0.18,33,30,596,44628
2012/11/11,0.18,33,32,418,31300
2012/12/01,0.29,33,31,300,22464
2013/01/02,0.57,33,28,320,23962
2013/01/05,0.57,33,28,350,26208
2013/01/10,0.57,33,29,500,37440
2013/01/12,0.57,33,29,703,59221
2013/01/13,0.57,33,29,750,63180
2013/01/16,0.27,33,27,520,43805
2013/01/17,0.27,33,28,533,44900
2013/01/18,0.27,33,27,184,15500
2013/01/18,0.27,33,27,462,38919
2013/01/18,0.27,33,27,900,17438
2013/01/19,0.27,33,28,330,27799
2013/01/21,0.49,33,28,770,64865
2013/01/22,0.49,33,28,607,51134
2013/01/23,0.49,33,28,1163,97971
2013/01/24,0.49,33,28,320,26957
